Functional SecurityRole Name,Description,SecurityRole,EmailId
MROPURGL,MROPURGL,MD16RW,
MROPURGL,MROPURGL,RP01RO,
MROPURPLA,MROPURPLA,AP02RO,
MROPURPLA,MROPURPLA,AP02RW,
MROPURPLA,MROPURPLA,AR01RW,
MROPURPLA,MROPURPLA,AR02RW,
MROPURPLA,MROPURPLA,GL01RW,
MROPURPLA,MROPURPLA,MD10RW,
MROPURPLA,MROPURPLA,MD14RW,
MROPURPLA,MROPURPLA,MD16RO,
MROPURPLA,MROPURPLA,MD16RW,
MROSUPUSR,MROSUPUSR,FS01RO,
MROSUPUSR,MROSUPUSR,FS01RW,
MROSUPUSR,MROSUPUSR,FS02RO,
MROSUPUSR,MROSUPUSR,FS03RO,
MROSUPUSR,MROSUPUSR,FS04RO,
MROSUPUSR,MROSUPUSR,FS05RO,
MROSUPUSR,MROSUPUSR,IN01RW,
MROSUPUSR,MROSUPUSR,IN02RW,
MROSUPUSR,MROSUPUSR,IN03RW,
MROSUPUSR,MROSUPUSR,IN04RW,
MROSUPUSR,MROSUPUSR,IN05RW,
MROSUPUSR,MROSUPUSR,MD04RW,
MROSUPUSR,MROSUPUSR,MD06RW,
MROSUPUSR,MROSUPUSR,MD10RW,
MROSUPUSR,MROSUPUSR,MD13RO,
MROSUPUSR,MROSUPUSR,MD13RW,
MROSUPUSR,MROSUPUSR,MD14RO,
MROSUPUSR,MROSUPUSR,MD14RW,
MROSUPUSR,MROSUPUSR,MD15RW,
MROSUPUSR,MROSUPUSR,PU01RW,
MROSUPUSR,MROSUPUSR,PU02RW,
MROSUPUSR,MROSUPUSR,PU03RW,
MROSUPUSR,MROSUPUSR,PU04RW,
MROSUPUSR,MROSUPUSR,PU05RW,
MROSUPUSR,MROSUPUSR,RP01RO,
MROSUPUSR,MROSUPUSR,SA01RW,
MROSURP,MROSURP,MD10RW,
MROSURP,MROSURP,MD15RO,
MROT&A,MROT&A,MD06RW,
MROVIEWGL,MROVIEWGL,GL02RO,
MROVIEWGL,MROVIEWGL,GL05RO,
MROVIEWGL,MROVIEWGL,RP01RO,
MROWAR1PO,MROWAR1PO,MD10RW,
MROWAR2PO,MROWAR2PO,MD10RW,
MROWARE1,MROWARE1,MD10RW,
MROWARE2,MROWARE2,MD10RW,
MROWAREGL,MROWAREGL,GL02RO,
MROWAREGL,MROWAREGL,GL05RO,
MROWAREGL,MROWAREGL,MD10RW,
MROWAREGL,MROWAREGL,RP01RO,
MROWH1CPO,MROWH1CPO,MD10RW,
MROWH2CPO,MROWH2CPO,MD10RW,
TAX,Tax,TX02RO,
TAX,Tax,TX02RW,
TRDCMP_RO,Trade Compliance,AP02RO,
TRDCMP_RO,Trade Compliance,PU01RO,
