MMCONO|MMDIVI|MMITNO|MMCFIS|MMIIPI|MMCIPI|MMXPI1|MMCPIS|MMRPIS|MMCOFI|MMXCCO|MMRCOF|MMXIMP|MMIORI|MMXSAT|MMRGDT|MMRGTM|MMLMDT|MMCHID|MMCHNO|MMEXIP|MMBICM|MMBCST|MMVPIS|MMVCOF|MMFCIN|MMGTIN|MMIMPA|MMEXOA|MMIMPE|MMUNMS|MMCOPI|MMXIPF|MMXICS|MMXITT|MMXSTP|MMXRSC|MMXIIC|MMLMTS
1||012382|34023990|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122541869
1||012486||\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122541876
1||012540||\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|AL|\N|\N|\N|\N|\N|\N|\N|1784122541882
1||012702||\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122541888
1||012881|82079000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122541894
1||012906|94033000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122541900
1||013025|84133030|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122541906
1||013035|34023990|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122541913
1||013070|76169900|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122541919
1||01388346|85183000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122541925
1||01553-0200|85291090|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122541931
1||015602-000|72230000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|KG|\N|\N|\N|\N|\N|\N|\N|1784122541938
