MMCONO|MMDIVI|MMITNO|MMCFIS|MMIIPI|MMCIPI|MMXPI1|MMCPIS|MMRPIS|MMCOFI|MMXCCO|MMRCOF|MMXIMP|MMIORI|MMXSAT|MMRGDT|MMRGTM|MMLMDT|MMCHID|MMCHNO|MMEXIP|MMBICM|MMBCST|MMVPIS|MMVCOF|MMFCIN|MMGTIN|MMIMPA|MMEXOA|MMIMPE|MMUNMS|MMCOPI|MMXIPF|MMXICS|MMXITT|MMXSTP|MMXRSC|MMXIIC|MMLMTS
1|801|704A34-629-024|84219999|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449196
1|801|704A34629024|84212990|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449203
1|801|704A36-5220-27|73269090|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449211
1|801|704A37-721-110|90262090|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449219
1|801|704A37-721-119|90328981|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449226
1|801|704A43-210-009|85299019|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122449234
1|801|704A43-210-013|85176199|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|UN|0|0|0|||0||1784122449241
1|801|704A43210009|90142090|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449249
1|801|704A46-851-023|90292020|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449256
1|801|704A46570102|85119000|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449267
1|801|704A47-1332-34|90149000|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122449275
1|801|704A47315013|90149000|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449283
1|801|706A31-350-019|39219090|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449290
1|801|706A31-690-006|73262000|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449298
1|801|706A33-999-007|39269090|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122449306
1|801|706A34-542-007|73269090|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449313
1|801|706A34424016|88073000|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449321
1|801|706A36-241-002|85299019|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449328
1|801|706A36-428-014|39269090|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449336
1|801|706A37-721-000|88073000|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449343
1|801|706A39-821-002|40169300|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122449351
1|801|706A44-6750-00|40113000|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|UN|0|0|0|||0||1784122449358
1|801|706A6-850-260|90149000|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449366
1|801|706T01-1|40113000|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|UN|0|0|0|||0||1784122449374
1|801|7075-T6|76061290|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|EA|0|0|0|||0||1784122449381
1|801|7075T6|76061190|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449389
1|801|7075T6511|76042920|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449396
1|801|7099810-001|84253110|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|UN|0|0|0|||0||1784122449404
1|801|70BM021700X|84119100|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449411
1|801|70BM027210|84119100|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449419
1|801|70BM027800|84119100|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122449427
1|801|70BM03770|84119100|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449435
1|801|70BM037710|84119100|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122449442
