iacono|iadivi|iafaci|iawhlo|iapuno|iaorty|iapotc|iapusl|iasldt|iapust|iascdt|iacmco|iapudt|iasuno|ialncd|iacucd|iatepy|iapyme|iamodl|iatedl|iateaf|iatepa|iarfid|iayre1|iadwdt|iahddt|iaprsu|iaourr|iaourt|iaagnt|iantam|iabram|iaotba|iapurc|iabuye|iaaure|ialedt|iafusc|iaexat|iaptac|iartac|iaexav|ianopp|ianoln|iamtwp|iamtdp|iacoam|iaodam|iaotpc|iaprla|iavol3|iagrwe|iatoqt|iatfno|ialred|iaatdt|iapopo|iatel1|iadudt|iacute|iaagra|iapyad|iashvi|iafids|iarcdt|ialidt|iaexep|iainep|iatlex|iatlin|iateor|iatxid|iaprtx|iapotx|iadtid|iaproj|iaelno|iaeclc|iacpri|iahafe|iatihm|iamedc|iargdt|iargtm|ialmdt|iachno|iachid|ialmts|iaprvw|iarasn|iafecn|iauca1|iauca2|iauca3|iauca4|iauca5|iauca6|iauca7|iauca8|iauca9|iauca0|iaudn1|iaudn2|iaudn3|iaudn4|iaudn5|iaudn6|iauid1|iauid2|iauid3|iauct1|iaporg|iasram
300|088|088|US1|2100000451|D01|20|35|20251007|35|20251007|04|20251006|20005|GB|USD|N90|ACH|003|DAP||001|||20251212|20251212|||||2772|2772|0|USAPALI|USAPALI||20251006||0|0|0|0|0|1|0|0|2772|0|0|1|0|0|550||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251006|190725|20251007|3|USAPALI|1759843932774|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000452|D01|20|20|20251008|20|20251008|04|20251007|20027|GB|USD|N30|ACH|003|FOB||001|||20251021|20251021|||||200.4|200.4|0|MECSVC|MECSVC|USSPATE|20251008||0|0|0|1|0|2|0|0|200.4|0|0|1|0|0|4||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251007|130513|20251008|3|USSPATE|1759945601357|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000453|D01|20|20|20251008|20|20251008|04|20251007|20027|GB|USD|N30|ACH|003|FOB||001|||20251021|20251021|||||247.2|247.2|0|MECSVC|MECSVC|USSPATE|20251008||0|0|0|1|0|1|0|0|247.2|0|0|1|0|0|4||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251007|130523|20251008|3|USSPATE|1759945601907|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000454|D01|20|35|20251008|35|20251008|04|20251007|20003|GB|USD|N75|WIR|001|FOB||001|||20251109|20251109|||||4450|4450|0|USAPALI|USAPALI||20251007||0|0|0|0|0|1|0|0|4450|0|0|1|0|0|500||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251007|133305|20251008|3|USAPALI|1759949476152|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000455|D01|20|35|20251008|35|20251008|04|20251007|20003|GB|USD|N75|WIR|001|FOB||001|||20251219|20251219|||||13350|13350|0|USAPALI|USAPALI||20251007||0|0|0|0|0|1|0|0|13350|0|0|1|0|0|1500||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251007|133305|20251008|3|USAPALI|1759949465038|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000456|D01|20|45|20251009|45|20251009|04|20251007|20010|GB|USD|N75|WIR|001|FOB||001|||20251219|20251219|||||1670|1670|0|USAPALI|USAPALI||20251007||0|0|0|1|0|1|0|0|1670|0|0|1|0|0|1000||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251007|133305|20251007|0|USAPALI|1760011744068|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000457|D01|20|35|20251017|35|20251009|04|20251007|20013|GB|USD|N21|ACH|003|DAP||001|||20251114|20251114|||||1016.27|1016.27|0|USAPALI|USAPALI||20251007||0|0|0|1|0|2|0|0|1016.27|0|0|1|0|0|100||0|0|1||0|0|0|HQ|||0|0|0|0|750|0|0|0|0|0|0||||||0||20251007|133306|20251017|20|USAPALI|1760709623990|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000458|D01|20|20|20251007|35|20251010|04|20251007|20013|GB|USD|N21|ACH|003|DAP||001|||20251216|20251216|||||2303.98|2303.98|0|USAPALI|USAPALI||20251007||0|0|0|0|0|2|0|0|2303.98|0|0|1|0|0|400||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251007|133615|20251010|4|USAPALI|1760099266265|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000459|D01|20|35|20251008|35|20251008|04|20251007|20031|GB|USD|N30|ACH|003|DAP||001|||20251111|20251111|||||312.99|312.99|0|USAPALI|USAPALI||20251007||0|0|0|1|0|1|0|0|312.99|0|0|1|0|0|50||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251007|133615|20251008|1|USAPALI|1759949031042|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000460|D01|20|35|20251008|35|20251008|04|20251007|20325|GB|USD|N75|WIR|001|DAP||001|||20251212|20251212|||||658|658|0|USAPALI|USAPALI||20251007||0|0|0|0|0|1|0|0|658|0|0|1|0|0|700||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251007|133615|20251008|3|USAPALI|1759949485294|0|||||||||||||0|0|0|0|0|0|0|0|0|||
