tdcono|tddivi|tdidtr|tdmvxp|tdextp|tdmvxd|tdmbmd|tdtx15|tdtx40|tdtxid|tdrgdt|tdrgtm|tdlmdt|tdchno|tdchid
100||142|||C21|0079144350000DR|0079144350000DR|0079144350000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079144350000DS|0079144350000DS|0079144350000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297480FDFDR|0079297480FDFDR|0079297480FDFDR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297480FDFDS|0079297480FDFDS|0079297480FDFDS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297480FFLDR|0079297480FFLDR|0079297480FFLDR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297480FFLDS|0079297480FFLDS|0079297480FFLDS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297480FHSDR|0079297480FHSDR|0079297480FHSDR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297480FHSDS|0079297480FHSDS|0079297480FHSDS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297481FAMDR|0079297481FAMDR|0079297481FAMDR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297481FAMDS|0079297481FAMDS|0079297481FAMDS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297481FAQDR|0079297481FAQDR|0079297481FAQDR|0|20260505|132135|20260505|1|SCOUGHLAN
