CIFILE	CISOPT	CITX40	CITX15	CIKEY1	CIAGG1	CIDSC1	CIKEY2	CIAGG2	CIDSC2	CIKEY3	CIAGG3	CIDSC3	CIKEY4	CIAGG4	CIDSC4	CIKEY5	CIAGG5	CIDSC5	CIKEY6	CIAGG6	CIDSC6	CIKEY7	CIAGG7	CIDSC7	CIKEY8	CIAGG8	CIDSC8	CIKEY9	CIAGG9	CIDSC9	CIKE10	CIAG10	CIDS10	CIKE11	CIAG11	CIDS11	CIKE12	CIAG12	CIDS12	CIKE13	CIAG13	CIDS13	CIKE14	CIAG14	CIDS14	CIKE15	CIAG15	CIDS15	CISEL1	CISOK1	CIOPR1	CIVAL1	CISEL2	CISOK2	CIOPR2	CIVAL2	CISEL3	CISOK3	CIOPR3	CIVAL3	CISEL4	CISOK4	CIOPR4	CIVAL4	CISEL5	CISOK5	CIOPR5	CIVAL5	CISEL6	CISOK6	CIOPR6	CIVAL6	CISTAT	CITXID	CIRGDT	CIRGTM	CILMDT	CICHNO	CICHID	CIMS51	CIMS52	CIMS53	CIMS54	CILMTS	CIJNSO	CIJNTB	CISOPM	CISOPJ	CISECF
MMOPTR    	90	MMOPTR90	MMOPTR90       	QJEMNO	0	0	QJSTDT	0	0	QJOSTM	0	0	QJFACI	0	0	QJPRNO	0	0	QJMWNO	0	0	QJOPNO	0	0	QJTRDT	0	0	QJTRTM	0	0	QJTMSX	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30817	20140322	0	MOVEX     	WEM05	WSTD1	WOS52	WFAC3	1395482897111	0	          	  	  	
MMOPTR    	91	MMOPTR91	MMOPTR91       	QJFACI	0	0	QJDEPT	0	0	QJSTDT	0	0	QJOSTM	0	0	QJPLGR	0	0	QJOPTP	0	0	QJSQNO	0	0	QJPRNO	0	0	QJMWNO	0	0	QJOPNO	0	0	QJTRDT	0	0	QJTRTM	0	0	QJTMSX	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30817	20140322	0	MOVEX     	WFAC3	WDE04	WSTD1	WOS52	1395482897111	0	          	  	  	
MMOPTR    	92	MMOPTR92	MMOPTR92       	QJFACI	0	0	QJDEPT	0	0	QJPRNO	0	0	QJMWNO	0	0	QJOPNO	0	0	QJOPTP	0	0	QJSQNO	0	0	QJTRDT	0	0	QJTRTM	0	0	QJTMSX	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30817	20140322	0	MOVEX     	WFAC3	WDE04	WPR01	WMW06	1395482897126	0	          	  	  	
MMOPTR    	93	MMOPTR93	MMOPTR93       	QJTRDT	0	0	QJFACI	0	0	QJPRNO	0	0	QJMWNO	0	0	QJOPNO	0	0	QJTRTM	0	0	QJTMSX	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30817	20140322	0	MOVEX     	WTRD1	WFAC3	WPR01	WMW06	1395482897126	0	          	  	  	
MMORDT    	00	MMORDT00	MMORDT00       	VQORTY	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65720	20131219	0	MOVEX     	WOR28	     	     	     	1387465040315	0	          	  	  	
MMOSER    	00	MMOSER00	MMOSER00       	SERORC	0	0	SERORN	0	0	SERORL	0	0	SERORX	0	0	SESTRT	0	0	SESUFI	0	0	SESQNR	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30809	20140322	0	MOVEX     	WRO19	WRO15	WRO16	WPO02	1395482889655	0	          	  	  	
MMOSER    	10	MMOSER10	MMOSER10       	SESUFI	0	0	SESTRT	0	0	SERORC	0	0	SERORN	0	0	SERORL	0	0	SERORX	0	0	SESQNR	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30809	20140322	0	MOVEX     	WSUF1	WST87	WRO19	WRO15	1395482889655	0	          	  	  	
MMOSER    	20	MMOSER20	MMOSER20       	SERIDC	0	0	SERIDN	0	0	SERIDL	0	0	SERIDX	0	0	SERORC	0	0	SERORN	0	0	SERORL	0	0	SERORX	0	0	SESTRT	0	0	SESUFI	0	0	SESQNR	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30809	20140322	0	MOVEX     	WRI13	WRI01	WRI02	WPO02	1395482889655	0	          	  	  	
MMOSER    	21	MMOSER21	MMOSER21       	SERIDC	0	0	SERIDN	0	0	SERIDL	0	0	SERIDX	0	0	SERORC	0	0	SERORN	0	0	SERORL	0	0	SERORX	0	0	SESTRT	0	0	SESUFI	0	0	SESQNR	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30809	20140322	0	MOVEX     	WRI13	WRI01	WRI02	WPO02	1395482889671	0	          	  	  	
MMOTTT    	00	MMOTTT00	MMOTTT00       	OXORTY	0	0	OXMOTT	0	0	OXTXVR	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65720	20131219	0	MOVEX     	WOR28	WMO32	WTX11	     	1387465040473	0	          	  	  	
